PassengerId,age,sex,who
198,,female,woman
199,24.0,female,woman
200,28.0,male,man
201,,male,man
202,34.0,male,man
203,45.5,male,man
204,18.0,male,man
205,2.0,female,child
206,32.0,male,man
207,26.0,male,man
208,16.0,female,woman
209,40.0,male,man
210,24.0,male,man
211,35.0,female,woman
212,22.0,male,man
213,30.0,male,man
214,,male,man
215,31.0,female,woman
216,27.0,female,woman
217,42.0,male,man
218,32.0,female,woman
219,30.0,male,man
220,16.0,male,man
221,27.0,male,man
222,51.0,male,man
223,,male,man
224,38.0,male,man
225,22.0,male,man
226,19.0,male,man
227,20.5,male,man
228,18.0,male,man
229,,female,woman
230,35.0,female,woman
231,29.0,male,man
232,59.0,male,man
233,5.0,female,child
234,24.0,male,man
235,,female,woman
236,44.0,male,man
237,8.0,female,child
238,19.0,male,man
239,33.0,male,man
240,,female,woman
241,,female,woman
242,29.0,male,man
243,22.0,male,man
244,30.0,male,man
245,44.0,male,man
246,25.0,female,woman
247,24.0,female,woman
248,37.0,male,man
249,54.0,male,man
250,,male,man
251,29.0,female,woman
252,62.0,male,man
253,30.0,male,man
254,41.0,female,woman
255,29.0,female,woman
256,,female,woman
257,30.0,female,woman
258,35.0,female,woman
259,50.0,female,woman
260,,male,man
261,3.0,male,child
262,52.0,male,man
263,40.0,male,man
264,,female,woman
265,36.0,male,man
266,16.0,male,man
267,25.0,male,man
268,58.0,female,woman
269,35.0,female,woman
270,,male,man
271,25.0,male,man
272,41.0,female,woman
273,37.0,male,man
274,,female,woman
275,63.0,female,woman
276,45.0,female,woman
277,,male,man
278,7.0,male,child
279,35.0,female,woman
280,65.0,male,man
281,28.0,male,man
282,16.0,male,man
283,19.0,male,man
284,,male,man
285,33.0,male,man
286,30.0,male,man
287,22.0,male,man
288,42.0,male,man
289,22.0,female,woman
290,26.0,female,woman
291,19.0,female,woman
292,36.0,male,man
293,24.0,female,woman
294,24.0,male,man
295,,male,man
296,23.5,male,man
297,2.0,female,child
298,,male,man
299,50.0,female,woman
300,,female,woman
301,,male,man
302,19.0,male,man
303,,female,woman
304,,male,man
305,0.92,male,child
306,,female,woman
307,17.0,female,woman
308,30.0,male,man
309,30.0,female,woman
310,24.0,female,woman
311,18.0,female,woman
312,26.0,female,woman
313,28.0,male,man
314,43.0,male,man
315,26.0,female,woman
316,24.0,female,woman
317,54.0,male,man
318,31.0,female,woman
319,40.0,female,woman
320,22.0,male,man
321,27.0,male,man
322,30.0,female,woman
323,22.0,female,woman
324,,male,man
325,36.0,female,woman
326,61.0,male,man
327,36.0,female,woman
328,31.0,female,woman
329,16.0,female,woman
330,,female,woman
331,45.5,male,man
332,38.0,male,man
333,16.0,male,man
334,,female,woman
335,,male,man
336,29.0,male,man
337,41.0,female,woman
338,45.0,male,man
339,45.0,male,man
340,2.0,male,child
341,24.0,female,woman
342,28.0,male,man
343,25.0,male,man
344,36.0,male,man
345,24.0,female,woman
346,40.0,female,woman
347,,female,woman
348,3.0,male,child
349,42.0,male,man
350,23.0,male,man
351,,male,man
352,15.0,male,child
353,25.0,male,man
354,,male,man
355,28.0,male,man
356,22.0,female,woman
357,38.0,female,woman
358,,female,woman
359,,female,woman
360,40.0,male,man
361,29.0,male,man
362,45.0,female,woman
363,35.0,male,man
364,,male,man
365,30.0,male,man
366,60.0,female,woman
367,,female,woman
368,,female,woman
369,24.0,female,woman
370,25.0,male,man
371,18.0,male,man
372,19.0,male,man
373,22.0,male,man
374,3.0,female,child
375,,female,woman
376,22.0,female,woman
377,27.0,male,man
378,20.0,male,man
379,19.0,male,man
380,42.0,female,woman
381,1.0,female,child
382,32.0,male,man
383,35.0,female,woman
384,,male,man
385,18.0,male,man
386,1.0,male,child
387,36.0,female,woman
388,,male,man
389,17.0,female,woman
390,36.0,male,man
391,21.0,male,man
392,28.0,male,man
393,23.0,female,woman
394,24.0,female,woman
395,22.0,male,man
396,31.0,female,woman
397,46.0,male,man
398,23.0,male,man
399,28.0,female,woman
400,39.0,male,man
401,26.0,male,man
402,21.0,female,woman
403,28.0,male,man
404,20.0,female,woman
405,34.0,male,man
406,51.0,male,man
407,3.0,male,child
408,21.0,male,man
409,,female,woman
410,,male,man
411,,male,man
412,33.0,female,woman
413,,male,man
414,44.0,male,man
415,,female,woman
416,34.0,female,woman
417,18.0,female,woman
418,30.0,male,man
419,10.0,female,child
420,,male,man
421,21.0,male,man
422,29.0,male,man
423,28.0,female,woman
424,18.0,male,man
425,,male,man
426,28.0,female,woman
427,19.0,female,woman
428,,male,man
429,32.0,male,man
430,28.0,male,man
431,,female,woman
432,42.0,female,woman
433,17.0,male,man
434,50.0,male,man
435,14.0,female,child
436,21.0,female,woman
437,24.0,female,woman
438,64.0,male,man
439,31.0,male,man
440,45.0,female,woman
441,20.0,male,man
442,25.0,male,man
443,28.0,female,woman
444,,male,man
445,4.0,male,child
446,13.0,female,child
447,34.0,male,man
448,5.0,female,child
449,52.0,male,man
450,36.0,male,man
451,,male,man
452,30.0,male,man
453,49.0,male,man
454,,male,man
455,29.0,male,man
456,65.0,male,man
457,,female,woman
458,50.0,female,woman
459,,male,man
460,48.0,male,man
461,34.0,male,man
462,47.0,male,man
463,48.0,male,man
464,,male,man
465,38.0,male,man
466,,male,man
467,56.0,male,man
468,,male,man
469,0.75,female,child
470,,male,man
471,38.0,male,man
472,33.0,female,woman
473,23.0,female,woman
474,22.0,female,woman
475,,male,man
476,34.0,male,man
477,29.0,male,man
478,22.0,male,man
479,2.0,female,child
480,9.0,male,child
481,,male,man
482,50.0,male,man
483,63.0,female,woman
484,25.0,male,man
485,,female,woman
486,35.0,female,woman
487,58.0,male,man
488,30.0,male,man
489,9.0,male,child
490,,male,man
491,21.0,male,man
492,55.0,male,man
493,71.0,male,man
494,21.0,male,man
495,,male,man
496,54.0,female,woman
497,,male,man
498,25.0,female,woman
499,24.0,male,man
500,17.0,male,man
501,21.0,female,woman
502,,female,woman
503,37.0,female,woman
504,16.0,female,woman
505,18.0,male,man
506,33.0,female,woman
507,,male,man
508,28.0,male,man
509,26.0,male,man
510,29.0,male,man
511,,male,man
512,36.0,male,man
513,54.0,female,woman
514,24.0,male,man
515,47.0,male,man
516,34.0,female,woman
517,,male,man
518,36.0,female,woman
519,32.0,male,man
520,30.0,female,woman
521,22.0,male,man
522,,male,man
523,44.0,female,woman
524,,male,man
525,40.5,male,man
526,50.0,female,woman
527,,male,man
528,39.0,male,man
529,23.0,male,man
530,2.0,female,child
531,,male,man
532,17.0,male,man
533,,female,woman
534,30.0,female,woman
535,7.0,female,child
536,45.0,male,man
537,30.0,female,woman
538,,male,man
539,22.0,female,woman
540,36.0,female,woman
541,9.0,female,child
542,11.0,female,child
543,32.0,male,man
544,50.0,male,man
545,64.0,male,man
546,19.0,female,woman
547,,male,man
548,33.0,male,man
549,8.0,male,child
550,17.0,male,man
551,27.0,male,man
552,,male,man
553,22.0,male,man
554,22.0,female,woman
555,62.0,male,man
556,48.0,female,woman
557,,male,man
558,39.0,female,woman
559,36.0,female,woman
560,,male,man
561,40.0,male,man
562,28.0,male,man
563,,male,man
564,,female,woman
565,24.0,male,man
566,19.0,male,man
567,29.0,female,woman
568,,male,man
569,32.0,male,man
570,62.0,male,man
571,53.0,female,woman
572,36.0,male,man
573,,female,woman
574,16.0,male,man
575,19.0,male,man
576,34.0,female,woman
577,39.0,female,woman
578,,female,woman
579,32.0,male,man
580,25.0,female,woman
581,39.0,female,woman
582,54.0,male,man
583,36.0,male,man
584,,male,man
585,18.0,female,woman
586,47.0,male,man
587,60.0,male,man
588,22.0,male,man
589,,male,man
590,35.0,male,man
591,52.0,female,woman
592,47.0,male,man
593,,female,woman
594,37.0,male,man
595,36.0,male,man
596,,female,woman
597,49.0,male,man
598,,male,man
599,49.0,male,man
600,24.0,female,woman
601,,male,man
602,,male,man
603,44.0,male,man
604,35.0,male,man
605,36.0,male,man
606,30.0,male,man
607,27.0,male,man
608,22.0,female,woman
609,40.0,female,woman
610,39.0,female,woman
611,,male,man
612,,female,woman
613,,male,man
614,35.0,male,man
615,24.0,female,woman
616,34.0,male,man
617,26.0,female,woman
618,4.0,female,child
619,26.0,male,man
620,27.0,male,man
621,42.0,male,man
622,20.0,male,man
623,21.0,male,man
624,21.0,male,man
625,61.0,male,man
626,57.0,male,man
627,21.0,female,woman
628,26.0,male,man
629,,male,man
630,80.0,male,man
631,51.0,male,man
632,32.0,male,man
633,,male,man
634,9.0,female,child
635,28.0,female,woman
636,32.0,male,man
637,31.0,male,man
638,41.0,female,woman
639,,male,man
640,20.0,male,man
641,24.0,female,woman
642,2.0,female,child
643,,male,man
644,0.75,female,child
645,48.0,male,man
646,19.0,male,man
647,56.0,male,man
648,,male,man
649,23.0,female,woman
650,,male,man
651,18.0,female,woman
652,21.0,male,man
653,,female,woman
654,18.0,female,woman
655,24.0,male,man
656,,male,man
657,32.0,female,woman
658,23.0,male,man
659,58.0,male,man
660,50.0,male,man
661,40.0,male,man
662,47.0,male,man
663,36.0,male,man
664,20.0,male,man
665,32.0,male,man
666,25.0,male,man
667,,male,man
668,43.0,male,man
669,,female,woman
670,40.0,female,woman
671,31.0,male,man
672,70.0,male,man
673,31.0,male,man
674,,male,man
675,18.0,male,man
676,24.5,male,man
677,18.0,female,woman
678,43.0,female,woman
679,36.0,male,man
680,,female,woman
681,27.0,male,man
682,20.0,male,man
683,14.0,male,child
684,60.0,male,man
685,25.0,male,man
686,14.0,male,child
687,19.0,male,man
688,18.0,male,man
689,15.0,female,child
690,31.0,male,man
691,4.0,female,child
692,,male,man
693,25.0,male,man
694,60.0,male,man
695,52.0,male,man
696,44.0,male,man
697,,female,woman
698,49.0,male,man
699,42.0,male,man
700,18.0,female,woman
701,35.0,male,man
702,18.0,female,woman
703,25.0,male,man
704,26.0,male,man
705,39.0,male,man
706,45.0,female,woman
707,42.0,male,man
708,22.0,female,woman
709,,male,man
710,24.0,female,woman
711,,male,man
712,48.0,male,man
713,29.0,male,man
714,52.0,male,man
715,19.0,male,man
716,38.0,female,woman
717,27.0,female,woman
718,,male,man
719,33.0,male,man
720,6.0,female,child
721,17.0,male,man
722,34.0,male,man
723,50.0,male,man
724,27.0,male,man
725,20.0,male,man
726,30.0,female,woman
727,,female,woman
728,25.0,male,man
729,25.0,female,woman
730,29.0,female,woman
731,11.0,male,child
732,,male,man
733,23.0,male,man
734,23.0,male,man
735,28.5,male,man
736,48.0,female,woman
737,35.0,male,man
738,,male,man
739,,male,man
740,,male,man
741,36.0,male,man
742,21.0,female,woman
743,24.0,male,man
744,31.0,male,man
745,70.0,male,man
746,16.0,male,man
747,30.0,female,woman
748,19.0,male,man
749,31.0,male,man
750,4.0,female,child
751,6.0,male,child
752,33.0,male,man
753,23.0,male,man
754,48.0,female,woman
755,0.67,male,child
756,28.0,male,man
757,18.0,male,man
758,34.0,male,man
759,33.0,female,woman
760,,male,man
761,41.0,male,man
762,20.0,male,man
763,36.0,female,woman
764,16.0,male,man
765,51.0,female,woman
766,,male,man
767,30.5,female,woman
768,,male,man
769,32.0,male,man
770,24.0,male,man
771,48.0,male,man
772,57.0,female,woman
773,,male,man
774,54.0,female,woman
775,18.0,male,man
776,,male,man
777,5.0,female,child
778,,male,man
779,43.0,female,woman
780,13.0,female,child
781,17.0,female,woman
782,29.0,male,man
783,,male,man
784,25.0,male,man
785,25.0,male,man
786,18.0,female,woman
787,8.0,male,child
788,1.0,male,child
789,46.0,male,man
790,,male,man
791,16.0,male,man
792,,female,woman
793,,male,man
794,25.0,male,man
795,39.0,male,man
796,49.0,female,woman
797,31.0,female,woman
798,30.0,male,man
799,30.0,female,woman
800,34.0,male,man
801,31.0,female,woman
802,11.0,male,child
803,0.42,male,child
804,27.0,male,man
805,31.0,male,man
806,39.0,male,man
807,18.0,female,woman
808,39.0,male,man
809,33.0,female,woman
810,26.0,male,man
811,39.0,male,man
812,35.0,male,man
813,6.0,female,child
814,30.5,male,man
815,,male,man
816,23.0,female,woman
817,31.0,male,man
818,43.0,male,man
819,10.0,male,child
820,52.0,female,woman
821,27.0,male,man
822,38.0,male,man
823,27.0,female,woman
824,2.0,male,child
825,,male,man
826,,male,man
827,1.0,male,child
828,,male,man
829,62.0,female,woman
830,15.0,female,child
831,0.83,male,child
832,,male,man
833,23.0,male,man
834,18.0,male,man
835,39.0,female,woman
836,21.0,male,man
837,,male,man
838,32.0,male,man
839,,male,man
840,20.0,male,man
841,16.0,male,man
842,30.0,female,woman
843,34.5,male,man
844,17.0,male,man
845,42.0,male,man
846,,male,man
847,35.0,male,man
848,28.0,male,man
849,,female,woman
850,4.0,male,child
851,74.0,male,man
852,9.0,female,child
853,16.0,female,woman
854,44.0,female,woman
855,18.0,female,woman
856,45.0,female,woman
857,51.0,male,man
858,24.0,female,woman
859,,male,man
860,41.0,male,man
861,21.0,male,man
862,48.0,female,woman
863,,female,woman
864,24.0,male,man
865,42.0,female,woman
866,27.0,female,woman
867,31.0,male,man
868,,male,man
869,4.0,male,child
870,26.0,male,man
871,47.0,female,woman
872,33.0,male,man
873,47.0,male,man
874,28.0,female,woman
875,15.0,female,child
876,20.0,male,man
877,19.0,male,man
878,,male,man
879,56.0,female,woman
880,25.0,female,woman
881,33.0,male,man
882,22.0,female,woman
883,28.0,male,man
884,25.0,male,man
885,39.0,female,woman
886,27.0,male,man
887,19.0,female,woman
888,,female,woman
889,26.0,male,man
890,32.0,male,man
