id,meter_id,units,voltage,temperature,power_factor,load_kw,frequency_hz,date,hour,day_of_week,is_weekend,voltage_status,voltage_flag,pf_issue,high_temp,load_intensity
18,MTR0000468,46.229,233.04,31.04,0.914,3.346,50.376,2025-02-24 17:25:15.433377,17,0,0,normal,1,0,0,13.816157154342037
19,MTR0000447,37.52,237.65,32.72,0.966,8.872,50.448,2024-11-21 21:06:38.453784,21,3,0,normal,1,0,0,4.229030400100992
20,MTR0000258,44.503,236.59,28.68,0.87,9.441,50.5,2025-10-02 04:07:37.856780,4,3,0,normal,1,0,0,4.713796511178359
21,MTR0000241,7.367,220.08,24.14,0.811,8.557,50.183,2025-03-01 21:02:10.604493,21,5,1,normal,1,1,0,0.860931563712091
22,MTR0000443,4.048,245.78,33.86,0.894,3.433,50.472,2025-02-23 16:46:16.651219,16,6,1,normal,1,0,0,1.1791401714530398
23,MTR0000539,21.053,237.99,27.9,0.986,8.585,50.188,2024-11-28 11:43:27.439661,11,3,0,normal,1,0,0,2.452297667678896
24,MTR0000320,27.743,220.64,35.35,0.846,2.612,50.486,2025-02-14 15:13:21.721192,15,4,0,normal,1,1,0,10.6213222767141
25,MTR0000267,2.181,247.47,35.63,0.761,4.12,50.418,2025-05-19 21:57:50.118481,21,0,0,normal,1,1,0,0.529367647165905
26,MTR0000491,43.213,225.85,32.07,0.82,3.14,50.267,2025-08-13 11:14:20.648301,11,2,0,normal,1,1,0,13.762058082617571
27,MTR0000359,3.237,246.78,27.52,0.776,7.147,49.768,2025-06-16 22:51:12.132270,22,0,0,normal,1,1,0,0.4529166742455936
28,MTR0000377,26.021,241.71,39.87,0.973,1.377,50.181,2025-05-23 14:54:51.348338,14,4,0,normal,1,0,0,18.896740038198704
29,MTR0000140,10.999,232.6,34.58,0.849,9.175,49.959,2025-09-22 16:27:49.018521,16,0,0,normal,1,1,0,1.1987997833244868
30,MTR0000963,7.382,241.66,26.28,0.977,1.866,49.815,2025-01-28 05:02:42.140383,5,1,0,normal,1,0,0,3.95603453357699
31,MTR0000500,43.032,229.39,32.2,0.91,5.224,49.767,2025-02-07 15:39:57.489294,15,4,0,normal,1,0,0,8.237350234781326
32,MTR0000446,13.161,233.81,20.67,0.945,0.942,50.255,2025-10-07 21:21:56.090748,21,1,0,normal,1,0,0,13.971189265506737
33,MTR0000279,5.833,222.4,24.05,0.918,5.468,50.336,2025-08-15 08:52:04.026127,8,4,0,normal,1,0,0,1.0667500608082283
34,MTR0000242,34.123,227.8,37.51,0.863,9.193,50.495,2025-06-30 06:57:10.971103,6,0,0,normal,1,0,0,3.711841932076654
35,MTR0000648,28.158,246.48,24.36,0.968,3.333,49.609,2025-02-13 08:26:17.461744,8,3,0,normal,1,0,0,8.448219477289296
36,MTR0000253,47.993,217.98,31.52,0.756,0.867,49.927,2025-09-25 18:23:26.686835,18,3,0,normal,1,1,0,55.354609520074746
37,MTR0000760,44.822,245.52,38.2,0.989,5.385,50.402,2025-11-04 21:51:13.864235,21,1,0,normal,1,0,0,8.323475722422058
38,MTR0000192,5.558,226.79,22.45,0.816,2.226,50.397,2025-06-24 17:15:17.358481,17,1,0,normal,1,1,0,2.4968441291818095
39,MTR0000235,43.756,212.14,29.89,0.867,8.119,49.925,2025-05-19 05:24:35.279410,5,0,0,normal,1,0,0,5.389327023861284
40,MTR0000155,45.479,222.39,21.61,0.994,8.552,50.354,2025-05-22 08:29:29.935430,8,3,0,normal,1,0,0,5.317931106254553
41,MTR0000435,20.605,241.92,32.93,0.827,3.661,50.108,2025-05-09 01:16:50.246422,1,4,0,normal,1,1,0,5.6282282758036715
42,MTR0000506,35.176,233.93,30.82,0.956,6.897,49.77,2025-06-04 00:16:23.826528,0,2,0,normal,1,0,0,5.1001810929663725
43,MTR0000725,38.521,213.45,32.99,0.824,9.764,49.914,2025-05-28 14:28:53.981635,14,2,0,normal,1,1,0,3.945202841865177
44,MTR0000628,44.653,226.8,30.06,0.864,5.202,50.121,2024-11-21 18:26:59.069624,18,3,0,normal,1,0,0,8.58379741676775
45,MTR0000036,37.43,238.93,28.62,0.905,4.376,50.31,2025-10-22 05:45:59.058924,5,2,0,normal,1,0,0,8.553453945489156
46,MTR0000818,18.204,223.93,31.63,0.919,0.377,49.556,2025-01-04 19:41:48.379581,19,5,1,normal,1,0,0,48.2851913742341
47,MTR0000227,21.513,232.04,36.61,0.904,1.767,50.12,2025-07-24 14:19:45.441460,14,3,0,normal,1,0,0,12.174803764551418
48,MTR0000160,29.439,245.44,38.88,0.945,5.724,50.082,2025-02-06 20:39:21.460205,20,3,0,normal,1,0,0,5.143072775903606
49,MTR0000199,30.306,226.45,26.65,0.777,0.024,49.508,2025-06-06 04:30:58.723488,4,4,0,normal,1,1,0,1262.2240733027904
50,MTR0000486,49.003,240.99,31.43,0.844,8.342,49.543,2025-08-05 20:01:12.315074,20,1,0,normal,1,1,0,5.874243737420597
51,MTR0000376,15.42,223.45,31.07,0.827,6.838,50.036,2025-04-25 22:55:45.332208,22,4,0,normal,1,1,0,2.2550420370838884
52,MTR0000256,39.06,228.52,26.87,0.817,6.264,50.377,2024-11-29 16:33:38.508507,16,4,0,normal,1,1,0,6.2356222292110015
53,MTR0000318,19.048,233.74,24.28,0.923,7.549,50.43,2025-07-27 06:12:29.574093,6,6,1,normal,1,0,0,2.5232447698439926
54,MTR0000740,7.695,229.81,33.41,0.95,8.552,50.233,2025-08-15 22:32:14.990217,22,4,0,normal,1,0,0,0.8997884707805535
55,MTR0000850,10.784,240.56,29.49,0.86,4.613,49.731,2025-03-16 09:58:44.372265,9,6,1,normal,1,0,0,2.3377360985560407
56,MTR0000842,37.108,221.29,29.19,0.824,2.29,50.415,2025-10-04 03:31:02.654952,3,5,1,normal,1,1,0,16.204296051108944
57,MTR0000675,48.16,219.21,24.12,0.869,2.766,49.669,2025-01-06 16:43:02.518628,16,0,0,normal,1,0,0,17.41136149182396
58,MTR0000893,43.078,238.25,20.75,0.964,8.304,50.008,2025-07-30 13:44:20.478898,13,2,0,normal,1,0,0,5.1876141767652015
59,MTR0000247,38.103,217.16,22.65,0.953,1.499,49.571,2025-07-21 19:13:23.330733,19,0,0,normal,1,0,0,25.418776392418994
60,MTR0000885,35.386,224.4,29.39,0.906,4.136,50.092,2025-03-12 23:26:08.385125,23,2,0,normal,1,0,0,8.555588598673602
61,MTR0000477,31.386,221.95,28.84,0.895,3.226,50.333,2025-08-19 22:18:19.597663,22,1,0,normal,1,0,0,9.729046097191267
62,MTR0000243,36.007,215.5,33.66,0.782,1.411,49.63,2025-06-14 01:01:48.232994,1,5,1,normal,1,1,0,25.51860015166441
63,MTR0000196,14.883,217.99,38.91,0.906,5.628,50.22,2025-07-01 23:51:43.510798,23,1,0,normal,1,0,0,2.6444515912374
64,MTR0000474,18.624,220.7,31.73,0.772,6.932,50.463,2025-10-21 15:56:33.807437,15,1,0,normal,1,1,0,2.686666637815006
65,MTR0000061,5.964,211.8,24.03,0.856,8.906,49.782,2025-08-15 08:36:56.258578,8,4,0,normal,1,0,0,0.6696601508419595
66,MTR0000736,28.382,233.97,25.57,0.871,0.448,50.386,2025-06-14 00:07:18.133067,0,5,1,normal,1,0,0,63.351264480703556
67,MTR0000585,37.934,212.55,21.16,0.88,3.191,50.167,2025-09-16 00:49:45.130670,0,1,0,normal,1,0,0,11.887772210052615
68,MTR0000941,9.48,225.3,38.01,0.992,1.63,50.135,2025-11-01 04:53:03.062235,4,5,1,normal,1,0,0,5.815915239783806
69,MTR0000800,48.65,223.32,24.27,0.91,0.083,49.989,2025-10-26 15:06:24.978899,15,6,1,normal,1,0,0,586.0739669919286
70,MTR0000735,21.113,228.39,32.8,0.87,4.855,49.513,2025-05-16 14:21:00.992609,14,4,0,normal,1,0,0,4.348703710188032
71,MTR0000271,23.493,240.02,31.72,0.961,4.26,49.94,2025-05-05 10:26:07.609831,10,0,0,normal,1,0,0,5.514775786911299
72,MTR0000460,36.347,221.32,29.99,0.84,4.404,50.091,2025-04-06 07:41:39.650008,7,6,1,normal,1,1,0,8.2531601881013
73,MTR0000360,38.907,226.17,21.31,0.77,1.133,50.011,2025-11-07 01:07:18.169876,1,4,0,normal,1,1,0,34.339502740487724
74,MTR0000584,40.803,237.99,35.94,0.945,2.752,50.271,2025-05-31 08:00:31.645334,8,5,1,normal,1,0,0,14.82661763583708
75,MTR0000056,17.551,220.53,25.75,0.941,9.974,50.489,2025-05-02 18:26:12.557402,18,4,0,normal,1,0,0,1.759673391143582
76,MTR0000538,44.204,211.78,29.43,0.972,0.464,49.813,2025-05-03 01:14:52.816770,1,5,1,normal,1,0,0,95.26518825025322
77,MTR0000847,44.921,222.63,24.24,0.838,1.169,50.2,2025-08-24 17:56:55.997845,17,6,1,normal,1,1,0,38.42653185173779
78,MTR0000549,1.107,232.08,20.36,0.968,5.022,50.338,2025-06-12 22:25:26.983857,22,3,0,normal,1,0,0,0.22042966859882795
79,MTR0000815,37.176,218.39,35.36,0.817,6.692,49.911,2025-10-17 07:14:28.111247,7,4,0,normal,1,1,0,5.555281597008971
80,MTR0000323,46.545,219.33,26.17,0.97,7.455,49.926,2024-12-22 05:05:13.576227,5,6,1,normal,1,0,0,6.243452389735226
81,MTR0000273,41.193,225.91,25.05,0.834,3.178,50.496,2025-01-03 07:14:28.850069,7,4,0,normal,1,1,0,12.961884953162514
82,MTR0000454,9.818,237.89,29.88,0.888,2.315,49.522,2025-05-03 04:23:14.900608,4,5,1,normal,1,0,0,4.241018397328737
83,MTR0000657,21.286,235.69,34.42,0.785,2.921,49.544,2024-12-30 11:26:12.834912,11,0,0,normal,1,1,0,7.287205452908412
84,MTR0000197,9.575,235.55,25.85,0.846,1.234,50.438,2025-06-29 13:32:34.939230,13,6,1,normal,1,1,0,7.759256407970761
85,MTR0000119,46.784,218.37,31.66,0.93,6.667,49.65,2025-01-07 23:12:06.893239,23,1,0,normal,1,0,0,7.017238612211472
86,MTR0000236,8.729,229.61,36.18,0.97,6.678,50.386,2025-05-04 19:03:17.534059,19,6,1,normal,1,0,0,1.3071259252382073
87,MTR0000772,15.263,213.0,24.73,0.86,7.849,49.9,2024-11-23 19:15:27.298709,19,5,1,normal,1,0,0,1.9445764497688245
88,MTR0000562,5.056,223.13,38.25,0.819,8.164,49.764,2025-07-28 20:05:49.856940,20,0,0,normal,1,1,0,0.6193035040378442
89,MTR0000038,20.944,244.58,32.98,0.939,0.62,50.37,2025-01-23 22:14:28.866079,22,3,0,normal,1,0,0,33.78010032096257
90,MTR0000053,41.321,234.08,22.96,0.951,4.229,49.893,2025-06-21 13:53:00.261398,13,5,1,normal,1,0,0,9.770844713065232
91,MTR0000188,5.401,211.89,35.27,0.783,3.185,50.268,2025-01-29 22:38:11.356535,22,2,0,normal,1,1,0,1.6957560572808248
92,MTR0000362,6.616,211.28,20.51,0.9,8.693,50.118,2025-05-29 02:56:40.701372,2,3,0,normal,1,0,0,0.7610712514997683
93,MTR0000881,14.32,244.07,33.54,0.858,6.975,49.772,2025-06-04 22:19:59.414757,22,2,0,normal,1,0,0,2.0530436515503205
94,MTR0000392,16.044,229.82,21.33,0.983,4.012,50.446,2025-06-21 04:48:51.938862,4,5,1,normal,1,0,0,3.998993023447101
95,MTR0000394,27.308,223.52,38.25,0.917,6.61,50.341,2025-08-07 09:13:33.304659,9,3,0,normal,1,0,0,4.131309937503877
96,MTR0000536,10.22,243.11,23.43,0.968,4.442,50.147,2025-10-10 00:34:21.786161,0,4,0,normal,1,0,0,2.3007602414222394
97,MTR0000089,40.375,217.97,22.62,0.858,7.697,49.785,2025-02-25 05:20:32.806865,5,1,0,normal,1,0,0,5.245543399319996
98,MTR0000067,5.829,248.23,22.42,0.939,3.939,49.96,2025-01-16 18:52:27.613059,18,3,0,normal,1,0,0,1.4798134556652558
99,MTR0000908,15.082,233.44,36.22,0.894,0.078,49.608,2024-12-20 19:33:40.270463,19,4,0,normal,1,0,0,193.33418792462507
100,MTR0000271,25.694,237.27,36.2,0.769,3.442,49.593,2025-02-22 17:03:57.960209,17,5,1,normal,1,1,0,7.464824332294211
101,MTR0000187,23.691,214.34,36.69,0.865,0.067,50.34,2024-12-14 04:20:08.278404,4,5,1,normal,1,0,0,353.5442471272944
102,MTR0000126,16.244,221.44,39.62,0.896,0.575,50.304,2025-05-17 20:36:20.084990,20,5,1,normal,1,0,0,28.249943479243843
103,MTR0000139,38.079,223.09,34.81,0.948,6.91,49.766,2025-01-15 19:03:02.207505,19,2,0,normal,1,0,0,5.510701142255945
104,MTR0000874,48.477,238.36,26.87,0.829,7.344,50.41,2025-07-13 13:03:21.691294,13,6,1,normal,1,1,0,6.600889704670881
105,MTR0000242,3.361,228.01,37.93,0.835,9.474,50.117,2025-08-01 21:27:59.874833,21,4,0,normal,1,1,0,0.35476002241922905
106,MTR0000908,19.417,247.81,22.59,0.907,5.7,49.58,2025-04-11 22:50:10.728200,22,4,0,normal,1,0,0,3.4064852517802606
107,MTR0000081,0.069,248.53,25.68,0.983,6.183,49.877,2025-07-23 17:03:31.185129,17,2,0,normal,1,0,0,0.011159613198102544
108,MTR0000909,28.588,236.08,25.36,0.872,8.941,50.297,2025-01-14 08:01:01.530634,8,1,0,normal,1,0,0,3.197401635833088
109,MTR0000423,24.273,222.9,20.4,0.773,6.303,50.003,2025-06-12 19:55:00.212697,19,3,0,normal,1,1,0,3.851017212411213
110,MTR0000192,35.424,242.33,24.85,0.765,0.706,50.402,2025-06-04 17:00:53.386644,17,2,0,normal,1,1,0,50.17492670075495
111,MTR0000385,31.958,219.55,26.53,0.845,8.434,49.822,2025-03-27 22:17:54.592438,22,3,0,normal,1,1,0,3.7891821328170114
112,MTR0000897,35.725,216.65,22.02,0.955,6.141,50.059,2025-07-02 14:20:48.248364,14,2,0,normal,1,0,0,5.817446967192693
113,MTR0000983,11.014,210.67,21.38,0.99,0.358,49.823,2025-05-01 04:18:48.368133,4,3,0,normal,1,0,0,30.76450378481048
114,MTR0000978,41.053,243.88,23.3,0.938,7.728,49.696,2025-06-05 02:53:21.575138,2,3,0,normal,1,0,0,5.312234326818936
115,MTR0000770,34.586,242.3,34.99,0.905,4.306,50.373,2025-05-10 14:52:25.353544,14,5,1,normal,1,0,0,8.032029651580002
116,MTR0000167,25.364,225.14,30.14,0.753,7.815,50.488,2025-07-14 04:01:25.107796,4,0,0,normal,1,1,0,3.2455492699305566
117,MTR0000904,29.741,238.65,37.88,0.906,1.701,49.855,2025-01-19 15:54:53.456286,15,6,1,normal,1,0,0,17.484318140398937
118,MTR0000881,0.189,245.54,22.2,0.998,2.843,50.15,2025-06-14 01:42:10.053447,1,5,1,normal,1,0,0,0.06647883757004021
119,MTR0000164,34.675,240.75,35.54,0.828,9.374,49.677,2025-05-14 02:34:05.422484,2,2,0,normal,1,1,0,3.6990572871161858
120,MTR0000620,37.833,236.55,34.21,0.995,5.788,50.213,2025-08-13 14:55:37.627354,14,2,0,normal,1,0,0,6.5364434408371785
121,MTR0000179,2.881,246.14,30.08,0.817,7.365,50.249,2025-07-25 07:41:18.763504,7,4,0,normal,1,1,0,0.3911739427373486
122,MTR0000491,10.47,238.37,36.49,0.976,6.262,49.961,2025-09-08 21:10:25.781378,21,0,0,normal,1,0,0,1.67198710957025
123,MTR0000487,44.43,227.37,31.2,0.956,6.76,49.648,2025-06-05 17:22:34.181380,17,3,0,normal,1,0,0,6.572475484503721
124,MTR0000724,9.112,234.5,20.84,0.8,7.48,50.058,2025-10-17 20:24:44.293055,20,4,0,normal,1,1,0,1.218180189598677
125,MTR0000427,44.315,235.44,26.33,0.869,3.44,49.866,2025-10-24 05:28:55.965206,5,4,0,normal,1,0,0,12.88222999351746
126,MTR0000372,37.349,223.98,26.41,0.835,8.435,50.39,2025-10-01 12:03:20.942227,12,2,0,normal,1,1,0,4.427854857314928
127,MTR0000885,10.493,215.58,36.78,0.754,2.055,49.92,2025-02-11 00:48:14.517334,0,1,0,normal,1,1,0,5.1060578780638535
128,MTR0000343,43.244,219.64,39.35,0.761,6.039,50.124,2025-07-21 00:07:45.002558,0,0,0,normal,1,1,0,7.16077635241538
129,MTR0000913,14.654,240.19,20.44,0.92,9.908,49.859,2025-03-26 13:19:33.149867,13,2,0,normal,1,0,0,1.4790053704023312
130,MTR0000249,13.192,241.86,28.44,0.886,7.38,50.455,2025-06-03 08:30:11.153536,8,1,0,normal,1,0,0,1.787531453209413
131,MTR0000956,35.747,243.64,35.27,0.876,7.8,49.607,2025-11-02 20:22:38.035704,20,6,1,normal,1,0,0,4.582942842380971
132,MTR0000042,34.955,246.91,23.52,0.884,6.6,49.997,2025-05-02 07:00:18.101738,7,4,0,normal,1,0,0,5.2962040966604595
133,MTR0000047,44.263,233.22,24.38,0.843,5.799,49.871,2025-04-10 22:43:56.628550,22,3,0,normal,1,1,0,7.632854573453055
134,MTR0000889,3.42,224.96,20.05,0.955,8.406,49.674,2025-04-08 10:49:38.871671,10,1,0,normal,1,0,0,0.40685176439238113
135,MTR0000514,47.592,228.59,33.69,0.907,0.885,49.998,2025-04-10 02:15:36.799319,2,3,0,normal,1,0,0,53.77566355182427
136,MTR0000521,35.143,239.98,32.96,0.851,0.993,50.292,2025-06-03 06:04:41.209736,6,1,0,normal,1,0,0,35.39037874744464
137,MTR0000857,5.428,226.8,29.36,0.922,2.853,50.383,2025-09-04 14:30:41.561567,14,3,0,normal,1,0,0,1.9025520415280701
138,MTR0000124,28.927,244.81,26.59,0.76,7.734,50.478,2025-11-12 07:00:42.163615,7,2,0,normal,1,1,0,3.7402330744335734
139,MTR0000261,29.087,233.22,22.38,1.0,0.831,49.673,2025-07-11 04:38:11.619001,4,4,0,normal,1,0,0,35.00198553567346
140,MTR0000546,42.142,217.18,34.55,0.767,5.363,50.03,2025-09-20 18:54:35.032850,18,5,1,normal,1,1,0,7.857900693826788
141,MTR0000611,34.697,212.12,34.08,0.915,5.805,50.31,2025-06-22 21:38:59.254613,21,6,1,normal,1,0,0,5.977078420192214
142,MTR0000872,37.409,213.33,37.61,0.853,1.541,50.034,2025-04-09 05:05:18.672666,5,2,0,normal,1,0,0,24.27563740663591
143,MTR0000032,40.291,231.75,29.65,0.869,0.033,50.113,2025-10-21 23:52:33.687865,23,1,0,normal,1,0,0,1220.5695243865493
144,MTR0000341,24.511,233.25,21.76,0.903,2.006,49.967,2025-07-11 04:27:20.394261,4,4,0,normal,1,0,0,12.218782558411972
145,MTR0000986,47.771,210.17,38.17,0.862,3.122,50.334,2025-03-18 22:44:28.915994,22,1,0,normal,1,0,0,15.301360341574819
146,MTR0000512,11.774,229.46,26.02,0.915,2.038,50.329,2025-08-17 08:15:57.233133,8,6,1,normal,1,0,0,5.777204233541543
147,MTR0000943,14.378,230.98,25.65,0.89,0.813,49.822,2025-01-24 20:54:08.162575,20,4,0,normal,1,0,0,17.684899324731557
148,MTR0000419,28.426,226.35,33.43,0.938,2.113,49.743,2025-09-07 13:23:21.160874,13,6,1,normal,1,0,0,13.45284688666878
149,MTR0000089,45.931,210.08,34.44,0.84,4.042,50.114,2025-02-24 04:20:06.106246,4,0,0,normal,1,1,0,11.363405830267615
150,MTR0000926,15.701,246.39,30.57,0.796,2.904,50.452,2025-02-18 09:44:14.141447,9,1,0,normal,1,1,0,5.406661822789867
151,MTR0001000,26.911,226.37,33.91,0.987,0.56,50.011,2025-07-07 12:56:31.312941,12,0,0,normal,1,0,0,48.05449902680309
152,MTR0000691,37.534,239.7,27.29,0.786,8.602,50.37,2025-06-25 02:52:22.129251,2,2,0,normal,1,1,0,4.363398787027683
153,MTR0000413,16.98,247.48,24.64,0.77,4.798,50.389,2025-05-25 03:16:13.172267,3,6,1,normal,1,1,0,3.538967196817014
154,MTR0000656,49.128,212.51,39.39,0.978,4.078,49.828,2025-01-07 16:08:56.903768,16,1,0,normal,1,0,0,12.047052361323292
155,MTR0000889,6.249,236.92,37.87,0.935,9.102,50.337,2024-12-20 22:11:37.188958,22,4,0,normal,1,0,0,0.6865516517780138
156,MTR0000566,36.618,231.18,31.1,0.805,7.73,50.353,2024-11-27 05:56:21.614973,5,2,0,normal,1,1,0,4.73712194421482
157,MTR0000578,7.875,244.45,27.38,0.98,6.192,49.568,2025-03-04 04:45:07.387504,4,1,0,normal,1,0,0,1.2718002716403882
158,MTR0000114,48.492,239.19,26.71,0.933,8.959,49.621,2025-03-19 05:35:49.320230,5,2,0,normal,1,0,0,5.412651621105457
159,MTR0000979,27.631,217.49,32.25,0.995,9.093,49.92,2025-07-15 08:00:27.303625,8,1,0,normal,1,0,0,3.0387077546379033
160,MTR0000809,40.309,212.33,23.99,0.833,6.26,50.325,2025-04-10 03:24:15.341127,3,3,0,normal,1,1,0,6.439127094046176
161,MTR0000642,8.417,236.63,24.56,0.758,1.96,49.838,2025-04-25 21:26:44.723336,21,4,0,normal,1,1,0,4.294365845072219
162,MTR0000479,26.365,218.09,29.92,0.78,9.045,50.224,2025-10-24 22:29:09.138054,22,4,0,normal,1,1,0,2.9148668713467427
163,MTR0000333,14.544,244.98,27.27,0.936,9.643,49.614,2025-01-16 01:22:49.747031,1,3,0,normal,1,0,0,1.5082427582259066
164,MTR0000905,26.962,223.33,39.22,0.821,4.234,50.193,2025-07-04 13:37:24.957545,13,4,0,normal,1,1,0,6.36795850741968
165,MTR0000850,39.089,225.51,30.74,0.912,5.773,49.568,2024-12-29 01:53:34.981755,1,6,1,normal,1,0,0,6.770991216020759
166,MTR0000081,34.425,231.65,23.0,0.979,0.042,50.224,2025-10-18 18:13:14.178448,18,5,1,normal,1,0,0,819.4477505355866
167,MTR0000357,24.469,242.38,30.95,0.925,5.667,49.712,2025-03-13 17:00:15.437068,17,3,0,normal,1,0,0,4.317797215815748
168,MTR0000035,2.131,244.48,37.63,0.755,8.04,50.342,2025-08-16 23:21:00.273468,23,5,1,normal,1,1,0,0.2650494215803214
169,MTR0000467,31.194,246.36,24.49,0.996,3.192,49.663,2024-12-10 14:47:44.736940,14,1,0,normal,1,0,0,9.77252577529519
170,MTR0000242,3.603,212.37,34.82,0.776,5.237,49.905,2025-01-28 11:22:56.442322,11,1,0,normal,1,1,0,0.6879879931487625
171,MTR0000740,40.786,227.93,24.11,0.924,3.186,50.371,2025-08-20 12:52:28.628381,12,2,0,normal,1,0,0,12.801591959849468
172,MTR0000327,41.338,222.58,21.95,0.828,8.188,50.412,2025-05-13 14:08:13.967331,14,1,0,normal,1,1,0,5.048601552758241
173,MTR0000716,20.86,216.81,32.81,0.796,1.336,49.507,2025-04-26 17:45:20.664282,17,5,1,normal,1,1,0,15.61365558641028
174,MTR0000044,6.34,220.18,38.47,0.916,1.533,49.607,2024-11-25 00:44:45.193218,0,0,0,normal,1,0,0,4.135654692402528
175,MTR0000889,42.724,230.44,39.64,0.832,9.268,50.102,2024-11-23 14:44:04.407850,14,5,1,normal,1,1,0,4.609835336819878
176,MTR0000327,39.525,219.17,28.07,0.958,1.316,49.92,2025-07-11 23:12:47.032513,23,4,0,normal,1,0,0,30.033966307246903
177,MTR0000925,7.959,235.22,38.72,0.789,4.693,49.833,2025-06-27 10:40:46.637603,10,4,0,normal,1,1,0,1.695926494936086
178,MTR0000818,16.942,221.4,28.36,0.863,5.781,49.955,2024-11-25 08:39:11.048979,8,0,0,normal,1,0,0,2.9306297688466207
179,MTR0000128,12.972,235.69,31.78,0.807,1.264,50.15,2025-10-07 10:00:51.108148,10,1,0,normal,1,1,0,10.262577036574077
180,MTR0000349,3.023,231.61,31.46,0.893,6.863,49.778,2025-04-02 22:52:49.825587,22,2,0,normal,1,0,0,0.4404772832911507
181,MTR0000330,35.385,224.46,24.91,0.977,4.779,49.951,2025-04-04 08:53:32.748508,8,4,0,normal,1,0,0,7.404253182144419
182,MTR0000789,0.718,215.99,26.96,0.976,9.674,49.656,2025-08-23 09:23:14.511122,9,5,1,normal,1,0,0,0.07421948085643906
183,MTR0000419,22.67,232.74,37.85,0.948,8.011,50.184,2025-01-12 20:09:08.547525,20,6,1,normal,1,0,0,2.8298554114899375
184,MTR0000462,24.399,213.89,28.67,0.956,2.55,50.213,2025-08-13 16:49:59.258814,16,2,0,normal,1,0,0,9.568197771773445
185,MTR0000112,23.181,210.32,20.98,0.758,7.644,49.74,2025-07-27 18:21:28.132589,18,6,1,normal,1,1,0,3.0325706010327043
186,MTR0000274,40.191,227.32,35.68,0.856,4.497,49.814,2025-04-24 13:01:00.972057,13,3,0,normal,1,0,0,8.937271653832214
187,MTR0000829,10.686,237.21,22.96,0.883,8.202,50.371,2024-12-27 07:18:11.448016,7,4,0,normal,1,0,0,1.3028513742363153
188,MTR0000738,19.262,224.77,31.74,0.865,3.505,49.932,2025-09-08 06:53:46.284256,6,0,0,normal,1,0,0,5.4955620668699945
189,MTR0000931,49.332,220.79,37.22,0.942,9.189,49.74,2024-11-21 20:27:20.383699,20,3,0,normal,1,0,0,5.368587040388464
190,MTR0000555,46.186,248.63,26.54,0.964,7.353,50.163,2025-05-28 05:58:50.473968,5,2,0,normal,1,0,0,6.281237207619737
191,MTR0000409,38.923,223.58,31.51,0.992,4.893,50.432,2025-09-17 23:20:20.236119,23,2,0,normal,1,0,0,7.954817177974295
